mjd	mag	rmsmag	band
60797.09587005787	23.509	0.094	g
60797.097315555555	23.759	0.122	g
60797.09926296296	23.877	0.131	g
60797.099738854165	23.818	0.098	g
60797.10071115741	23.659	0.101	g
60797.102168460646	23.89	0.126	g
60797.10321956019	23.546	0.116	g
60797.10465436343	23.796	0.119	g
60797.10562635417	23.941	0.147	g
60797.10707456018	23.74	0.117	g
60797.10804425926	23.579	0.121	g
60797.10948665509	23.966	0.171	g
60797.11045716435	23.751	0.11	g
60797.111904756945	24.032	0.139	g
60797.11289425926	24.235	0.157	g
60797.113854953706	23.938	0.174	g
60797.115291458336	24.207	0.17	g
60797.11779525463	24.319	0.176	g
60797.11924275463	24.05	0.169	g
60797.12022145833	24.32	0.202	g
60797.12167315972	24.418	0.197	g
60797.12264466435	24.225	0.177	g
60797.12655335648	24.378	0.194	g
60797.129973854164	24.025	0.172	g
60797.13144895833	24.114	0.166	g
60797.132505960646	23.991	0.173	g
60798.01056255787	22.813	0.15	i
60798.01202335648	23.017	0.182	i
60798.01299456019	22.863	0.165	i
60798.01496635417	23.192	0.213	i
60798.016410462966	23.078	0.201	i
60798.01740255787	22.887	0.158	i
60798.01886736111	23.176	0.203	i
60798.021321458335	22.842	0.159	i
60798.02335376157	22.904	0.166	i
60798.02432895833	22.616	0.132	i
60798.02673106481	22.897	0.188	i
60798.02817275463	22.921	0.2	i
60798.029175358795	22.542	0.138	i
60798.03162195602	22.698	0.142	i
60798.03262486111	22.813	0.167	i
60798.03309925926	22.624	0.139	i
60798.03657885417	22.819	0.177	i
60798.04046236111	22.773	0.094	r
60798.04319975695	23.053	0.146	r
60798.04468675926	23.067	0.145	r
60798.04564805556	22.961	0.131	r
60798.04712925926	22.937	0.119	r
60798.04810665509	23.024	0.135	r
60798.05054945602	22.977	0.121	r
60798.05151525463	23.004	0.128	r
60798.051993657406	23.061	0.133	r
60798.05297145833	22.796	0.113	r
60798.054425462964	22.823	0.12	r
60798.05548796296	22.941	0.128	r
60798.057937060184	22.937	0.117	r
60798.06035925926	22.838	0.12	r
60798.061836458335	23.134	0.142	r
60798.0628153588	22.972	0.129	r
60798.06426895833	23.048	0.144	r
60798.06524016204	23.033	0.128	r
60798.06621055555	23.135	0.15	r
