mjd	mag_val	mag_band
60797.066352118054	23.62	r
60798.068658125	23.32	r
60799.11461511574	23.29	r
60795.03502011574	23.42	r
60799.11207711806	23.16	r
60799.10482511574	23.36	r
60795.03160112268	23.38	r
60799.097303125	23.23	r
60799.08549511574	23.36	r
60795.07269912037	23.23	r
60797.07856511574	23.47	r
60799.083994120374	23.35	r
60799.13767711806	23.34	r
60798.09311612268	23.27	r
60790.117312118055	22.95	r
60798.083352118054	23.34	r
60797.082003125	23.43	r
60798.07505011574	23.22	r
60795.06925612268	23.34	r
60799.101367118055	23.27	r
60790.12139612268	23.41	r
60795.092543125	23.38	r
60798.04094211805	23.23	r
60798.066211122685	23.43	r
60799.10968112268	23.50	r
60799.126288125	23.22	r
60799.13231612268	23.34	r
60799.13672011574	23.41	r
60797.08003711805	23.50	r
60798.077978125	23.14	r
60799.088911122686	23.30	r
60798.055488125	23.05	r
60797.07562112268	23.26	r
60797.07176211805	23.48	r
60790.122444120374	23.23	r
60795.06824412037	23.23	r
60798.08972711806	23.33	r
60797.081013125	23.37	r
60797.07272412037	23.33	r
60797.05911912037	23.75	r
60799.125808125	23.42	r
60798.08539011574	23.12	r
60798.05645011574	23.23	r
60799.10920011574	23.41	r
60798.06183612269	23.42	r
60799.09583412037	23.42	r
60799.10040011574	23.34	r
60797.061048125	23.40	r
60790.118846122685	23.07	r
60797.08248211806	23.54	r
60795.03355112269	23.60	r
60799.12141112269	23.15	r
60798.04419912037	23.38	r
60799.09183612269	23.37	r
60798.05793711806	23.22	r
60790.13220612268	23.40	r
60799.13426112269	23.32	r
60798.08042711805	23.29	r
60799.09434112268	23.39	r
60797.067821122684	23.45	r
60797.068298125	23.47	r
60797.06984211806	23.49	r
60793.184043125	23.17	r
60797.07321011574	23.30	r
60798.088756122685	23.14	r
60790.119873125	23.32	r
60799.12434511574	23.43	r
60798.05696711806	23.23	r
60798.04859211806	23.20	r
60799.11948612268	23.49	r
60798.06377912037	23.45	r
60799.13474112268	23.39	r
60795.070718125	23.35	r
60793.18501511574	23.17	r
60795.06723511574	23.16	r
60797.057638125	23.34	r
60798.08634711806	23.13	r
60799.09988112268	23.08	r
60798.090702118054	23.33	r
60797.063948125	23.32	r
60799.086453125	23.36	r
60795.10168912037	23.22	r
60797.05619711806	23.36	r
60799.10289011574	23.22	r
60793.19100612269	22.97	r
60797.057153125	23.25	r
60799.09235612269	23.36	r
60799.10727511574	23.05	r
60799.09037612269	23.42	r
60797.06936612268	23.44	r
60795.032578125	23.21	r
60798.072618125	23.34	r
60799.12986912037	23.40	r
60793.19351412037	23.21	r
60799.11608412037	23.23	r
60798.058897118055	23.13	r
60798.05103412037	23.33	r
60799.122903125	23.15	r
60799.09334211805	23.35	r
60790.11781912037	23.22	r
